order_id;product_id;unitprice;quantity;customer_id;orderdate;employee_id;deliverydate
13582;9;331;73;22;22-07-2019;3;2019-07-23 00:00:00
13223;2;386,7;37;114;30-09-2019;4;2019-10-01 00:00:00
14199;6;118,66;21;122;23-03-2019;10;2019-03-24 00:00:00
12842;19;1137,52;53;91;26-08-2021;2;2021-08-27 00:00:00
12245;5;246,52;17;89;22-01-2019;5;2019-01-23 00:00:00
10175;0;898,63;96;7;23-01-2021;1;2021-01-24 00:00:00
14563;10;508,16;75;149;27-03-2019;7;2019-03-28 00:00:00
13555;12;475,26;63;90;30-09-2019;4;2019-10-01 00:00:00
14887;5;858,4;84;60;04-01-2019;7;2019-01-05 00:00:00
14191;10;450,31;64;68;03-09-2019;9;2019-09-04 00:00:00
10153;8;669,58;23;189;27-10-2020;1;2020-10-28 00:00:00
13209;2;866,03;5;73;19-06-2020;4;2020-06-20 00:00:00
12380;3;757,24;87;185;11-04-2019;7;2019-04-12 00:00:00
12865;19;867,16;98;110;27-08-2021;3;2021-08-28 00:00:00
11308;6;235,51;80;73;07-07-2021;2;2021-07-08 00:00:00
10267;20;844,8;32;155;26-05-2021;3;2021-05-27 00:00:00
11666;4;781,95;44;192;20-12-2018;5;2018-12-21 00:00:00
14750;9;537,76;96;172;21-04-2019;5;2019-04-22 00:00:00
13952;15;552,24;29;189;30-07-2019;3;2019-07-31 00:00:00
10488;13;151,46;56;107;01-10-2021;3;2021-10-02 00:00:00
13445;5;398,03;88;38;05-05-2019;3;2019-05-06 00:00:00
10836;15;1045,51;78;34;22-04-2019;2;2019-04-23 00:00:00
14644;11;162,98;66;93;16-06-2021;9;2021-06-17 00:00:00
10322;13;1196,46;78;34;15-09-2021;9;2021-09-16 00:00:00
11438;20;439,06;12;127;11-03-2019;3;2019-03-12 00:00:00
14966;15;248,14;89;13;23-04-2019;10;2019-04-24 00:00:00
14759;16;753,58;27;94;29-01-2019;5;2019-01-30 00:00:00
13643;11;231,25;27;132;05-08-2020;3;2020-08-06 00:00:00
10437;8;550,58;39;138;05-10-2019;2;2019-10-06 00:00:00
10918;12;104,85;77;191;07-11-2020;4;2020-11-08 00:00:00
11611;18;40,46;81;131;24-10-2019;10;2019-10-25 00:00:00
13685;3;518,56;41;32;21-01-2020;4;2020-01-22 00:00:00
13943;13;696,52;90;0;03-11-2020;1;2020-11-04 00:00:00
14440;3;462,96;25;67;11-03-2019;1;2019-03-12 00:00:00
10371;0;655,01;53;10;02-05-2019;10;2019-05-03 00:00:00
